"Thématiques","Critères","Sélection agrément","Créer DAE"
"1","1","na","na"
"1","2","na","nc"
"1","3","na","na"
"1","4","na","na"
"1","5","na","na"
"1","6","na","na"
"1","7","na","na"
"1","8","na","na"
"1","9","na","na"
"2","1","na","na"
"2","2","na","na"
"3","1","c","c"
"3","2","nc","nc"
"3","3","c","nc"
"4","1","na","na"
"4","2","na","na"
"4","3","na","na"
"4","4","na","na"
"4","5","na","na"
"4","6","na","na"
"4","7","na","na"
"4","8","na","na"
"4","9","na","na"
"4","10","na","na"
"4","11","na","na"
"4","12","na","na"
"4","13","na","na"
"5","1","na","na"
"5","2","na","na"
"5","3","na","nc"
"5","4","na","na"
"5","5","na","na"
"5","6","na","na"
"5","7","na","na"
"5","8","na","c"
"6","1","na","nc"
"6","2","na","nc|Lien d’action en haut de formulaire"
"7","1","na","nc"
"7","2","na","na"
"7","3","na","nc|Lien d’action en haut de formulaire"
"7","4","na","81"
"7","5","na","nc"
"8","1","nc","nc"
"8","2","nc","nc"
"8","3","nc","nc"
"8","4","na","na"
"8","5","c","c"
"8","6","c","c"
"8","7","na","na"
"8","8","na","na"
"8","9","c","c"
"8","10","nc","nc"
"9","1","nc","nc"
"9","2","nc","nc"
"9","3","na","na"
"9","4","na","na"
"10","1","c","c"
"10","2","c","c"
"10","3","c","c"
"10","4","c","c"
"10","5","c","c"
"10","6","na","c"
"10","7","c","nc"
"10","8","na","na"
"10","9","c","c"
"10","10","c","c"
"10","11","c","?"
"10","12","c","c"
"10","13","na","nc|Menu principal"
"10","14","81","nc"
"11","1","nc","nc"
"11","2","na","nc"
"11","3","na","?"
"11","4","na","?"
"11","5","na","nc"
"11","6","na","nc"
"11","7","na","na"
"11","8","na","na"
"11","9","na","nc"
"11","10","na","nc"
"11","11","na","nc"
"11","12","na","na"
"11","13","na","nc"
"12","1","nc","nc"
"12","2","na","na"
"12","3","na","na"
"12","4","na","na"
"12","5","na","na"
"12","6","nc","nc"
"12","7","nc","nc"
"12","8","c","c"
"12","9","c","c"
"12","10","nc","nc"
"12","11","na","na"
"13","1","na","na"
"13","2","na","na"
"13","3","na","na"
"13","4","na","na"
"13","5","na","na"
"13","6","na","na"
"13","7","na","na"
"13","8","na","na"
"13","9","na","na"
"13","10","na","na"
"13","11","na","na"
"13","12","na","na"
